"latitude";"longitude";"unixtime";"file_name"
39.89171;116.41036;2008-02-02 13:30:44.000;"3015"
39.9035;116.40048;2008-02-02 13:30:44.000;"3579"
39.90484;116.36838;2008-02-02 13:30:44.000;"6275"
39.8917;116.41028;2008-02-02 13:30:45.000;"3015"
39.90341;116.40049;2008-02-02 13:30:45.000;"3579"
39.90484;116.36838;2008-02-02 13:30:45.000;"6275"
39.90334;116.40049;2008-02-02 13:30:46.000;"3579"
39.90484;116.36838;2008-02-02 13:30:46.000;"6275"
39.8917;116.41022;2008-02-02 13:30:46.000;"3015"
39.96662;116.34642;2008-02-02 13:30:46.000;"4549"
39.94337;116.41062;2008-02-02 13:30:46.000;"8738"
39.96293;116.4422;2008-02-02 13:30:47.000;"6274"
39.83317;116.44065;2008-02-02 13:30:47.000;"6899"
39.90328;116.40049;2008-02-02 13:30:47.000;"3579"
39.9705;116.46055;2008-02-02 13:30:47.000;"2487"
39.90484;116.36838;2008-02-02 13:30:47.000;"6275"
39.84351;116.39465;2008-02-02 13:30:47.000;"8717"
39.95873;116.45998;2008-02-02 13:30:47.000;"7630"
39.90652;116.31502;2008-02-02 13:30:47.000;"2240"
39.90321;116.40049;2008-02-02 13:30:48.000;"3579"
39.90484;116.36838;2008-02-02 13:30:48.000;"6275"
39.90732;116.45353;2008-02-02 13:30:48.000;"366"
39.90823;116.45556;2008-02-02 13:30:48.000;"5860"
39.88848;116.32458;2008-02-02 13:30:48.000;"8775"
39.94427;116.30353;2008-02-02 13:30:49.000;"5360"
39.90314;116.40048;2008-02-02 13:30:49.000;"3579"
39.90484;116.36838;2008-02-02 13:30:49.000;"6275"
39.88372;116.29443;2008-02-02 13:30:49.000;"950"
39.9667;116.34643;2008-02-02 13:30:49.000;"4549"
39.89454;116.31412;2008-02-02 13:30:49.000;"1277"
39.98036;116.35278;2008-02-02 13:30:49.000;"6211"
39.89004;116.31995;2008-02-02 13:30:49.000;"8662"
39.86973;116.45804;2008-02-02 13:30:49.000;"1131"
